Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
R9-0 R8 architecture reference,Overall,SBP,12.10476663594467,0.4712483710061318,-1.6350574729025118,16.146570969126934,29.54573765726861,53.33014989826849,70.12519204418054,FAIL*,FAIL (Grade D)*
R9-0 R8 architecture reference,Overall,DBP,6.561536315805823,0.4956941700193046,-1.2545910742484527,9.224560829440946,51.19482622596853,79.29867541419259,91.76493792301623,FAIL*,PASS (Grade B)*
R9-1 Adaptive base-personal fusion,Overall,SBP,12.049368637609891,0.47388957613816773,-0.8432067385524906,16.166587008951765,29.789685670389904,53.75057094215837,70.32138853132915,FAIL*,FAIL (Grade D)*
R9-1 Adaptive base-personal fusion,Overall,DBP,6.496006030040054,0.5056737404833229,-0.950919849266816,9.167729227452423,51.53739152098991,79.39002615953163,91.9268778806627,FAIL*,PASS (Grade B)*
R9-2 Soft BP-range experts,Overall,SBP,12.061215693890363,0.4720917253509901,-0.9169959135340262,16.19025038028173,29.612174562969727,53.65506789021302,70.43557696300294,FAIL*,FAIL (Grade D)*
R9-2 Soft BP-range experts,Overall,DBP,6.526117831009476,0.502796872218731,-0.9327559189182062,9.196514194365362,51.09828509737159,79.38275962297055,91.88639289125109,FAIL*,PASS (Grade B)*
R9-3 DBP-specific physiology,Overall,SBP,12.047113191317676,0.47632181467167467,-1.0948151000110442,16.113948786853424,29.434663455549558,53.47651870614126,70.48644271893036,FAIL*,FAIL (Grade D)*
R9-3 DBP-specific physiology,Overall,DBP,6.620809700047213,0.4883886938326124,-1.2513654798396732,9.292796928841424,51.16264584976955,78.64261097039406,91.33725034256528,FAIL*,PASS (Grade B)*
R9-4 Bias regularization,Overall,SBP,12.114891433311906,0.4718109063934718,-1.4953748977981731,16.151433734352114,29.289332724328364,53.29900759872109,70.29647469169123,FAIL*,FAIL (Grade D)*
R9-4 Bias regularization,Overall,DBP,6.634906964440067,0.4847753563309617,-1.3509071712076517,9.312250040996819,51.20520699248432,78.51181331229498,91.29157496989578,FAIL*,PASS (Grade B)*
R9-5 Short causal attention,Overall,SBP,12.163127594174714,0.46502723618896535,-1.7387839335814734,16.231472695684346,29.208362745505127,53.0810115018893,70.07328821160155,FAIL*,FAIL (Grade D)*
R9-5 Short causal attention,Overall,DBP,6.6362459413366635,0.4826954498728333,-1.234819163823897,9.347492401929966,50.97371589918199,78.88655898351534,91.21890960428519,FAIL*,PASS (Grade B)*
R9-6 Personal BP direction,Overall,SBP,12.007075046654462,0.47868175699089777,-0.7321278825479602,16.098025079457596,29.60906033301499,53.52946061537184,70.58921230743678,FAIL*,FAIL (Grade D)*
R9-6 Personal BP direction,Overall,DBP,6.65137459161308,0.47943233222592607,-1.5365162051377916,9.332753015001423,51.238425445334876,78.58655483120873,91.02686542374289,FAIL*,PASS (Grade B)*
R9-7 Temporal delta consistency,Overall,SBP,12.098637224872242,0.4720807658505295,-1.7359703898959513,16.123179970152925,29.582070340073912,53.29174106216003,70.163600880289,FAIL*,FAIL (Grade D)*
R9-7 Temporal delta consistency,Overall,DBP,6.566621106135134,0.4955448893353741,-1.2701191049781801,9.223826357064896,51.168874309679026,79.27272349790309,91.73379562346884,FAIL*,PASS (Grade B)*
R9-8 Support dropout consistency,Overall,SBP,12.173059506862408,0.46678695404022263,-1.7957757356153672,16.198231408777513,29.21251505211145,53.075821118631396,69.69127600382012,FAIL*,FAIL (Grade D)*
R9-8 Support dropout consistency,Overall,DBP,6.650006910656019,0.4822338743136807,-1.3639181113166874,9.333779496056552,51.06195241456629,78.57202175808662,91.21164306772413,FAIL*,PASS (Grade B)*
R9-0 R8 architecture reference,MIMIC,SBP,12.795477661152919,0.44416174343596837,-1.8244970157856102,16.949562625670474,28.18361502158041,50.927083753512704,67.4330738305568,FAIL*,FAIL (Grade D)*
R9-0 R8 architecture reference,MIMIC,DBP,6.8026633251414275,0.4652413506234315,-1.4550506107913557,9.52841625130233,50.141852554018264,77.93150740187971,90.8636198620467,FAIL*,PASS (Grade B)*
R9-1 Adaptive base-personal fusion,MIMIC,SBP,12.723627735418145,0.44715420456956945,-0.9906247200411357,16.972641734989416,28.549339141892894,51.4312989929141,67.72215723448025,FAIL*,FAIL (Grade D)*
R9-1 Adaptive base-personal fusion,MIMIC,DBP,6.713879394423538,0.4779251986533467,-1.0530461700167815,9.465480918815691,50.63396662767402,78.09689000040338,91.07068425369421,FAIL*,PASS (Grade B)*
R9-2 Soft BP-range experts,MIMIC,SBP,12.73988346014043,0.4450338852278253,-0.9448643545477201,17.00787267307199,28.246809998252054,51.36541486829898,67.82434485633227,FAIL*,FAIL (Grade D)*
R9-2 Soft BP-range experts,MIMIC,DBP,6.749076715366547,0.4749007317533869,-1.0553472427699095,9.49294171103328,50.102859908837885,78.05924192919474,91.03572533042905,FAIL*,PASS (Grade B)*
R9-3 DBP-specific physiology,MIMIC,SBP,12.719661318317998,0.449844158939936,-1.2289445200618216,16.915530363294888,28.16613555994783,51.1193578314711,67.80148709881274,FAIL*,FAIL (Grade D)*
R9-3 DBP-specific physiology,MIMIC,DBP,6.852723315742647,0.459210986479613,-1.2443948363632058,9.612860203537211,50.10958277869657,77.28342274750246,90.38091780619311,FAIL*,PASS (Grade B)*
R9-4 Bias regularization,MIMIC,SBP,12.800890250077316,0.4449434748607761,-1.6483511005665403,16.95555030421955,27.99671923950896,50.84775388918021,67.64686109206298,FAIL*,FAIL (Grade D)*
R9-4 Bias regularization,MIMIC,DBP,6.86589991339336,0.4551581492387923,-1.3381815296855426,9.636856267333622,50.25479676764417,77.20678203111345,90.33654686512578,FAIL*,PASS (Grade B)*
R9-5 Short causal attention,MIMIC,SBP,12.855610601671806,0.43737951960508115,-2.193430559498567,17.01033061784524,27.84074865878746,50.6258991838436,67.34567652239389,FAIL*,FAIL (Grade D)*
R9-5 Short causal attention,MIMIC,DBP,6.881455561255359,0.45057469523346083,-1.4291987948263596,9.665062660671083,49.949578476059855,77.46090651177174,90.23032552135855,FAIL*,FAIL (Grade C)*
R9-6 Personal BP direction,MIMIC,SBP,12.693189898945565,0.4517557077205754,-0.8484273549969378,16.909352814344597,28.131176636682664,51.02523765344951,67.95745767953424,FAIL*,FAIL (Grade D)*
R9-6 Personal BP direction,MIMIC,DBP,6.907939528664961,0.44683623844612186,-1.5639481434153948,9.677789951640648,50.07731300337488,77.17585682976349,89.95872157906767,FAIL*,FAIL (Grade C)*
R9-7 Temporal delta consistency,MIMIC,SBP,12.792751593743208,0.444763443022697,-1.9609261045324755,16.925029678488553,28.214540222930363,50.818173261802,67.41424979495247,FAIL*,FAIL (Grade D)*
R9-7 Temporal delta consistency,MIMIC,DBP,6.8105661640129025,0.46475069611373754,-1.4884905291246704,9.527724204115236,50.08538044720531,77.89789305258628,90.81118147714896,FAIL*,PASS (Grade B)*
R9-8 Support dropout consistency,MIMIC,SBP,12.885734239124087,0.43907020200269886,-2.1555844283441505,16.989172456710218,27.637717989055165,50.535812727737216,66.87776478022938,FAIL*,FAIL (Grade D)*
R9-8 Support dropout consistency,MIMIC,DBP,6.883456422826995,0.45228206512894886,-1.4013043527327587,9.653794979779077,50.14857542387694,77.17451225579175,90.25183870490635,FAIL*,PASS (Grade B)*
R9-0 R8 architecture reference,VitalDB,SBP,9.765395486174052,0.5329523464349544,-0.9934441424755946,13.04520765761975,34.15911471378478,61.469101507354615,79.24313493328475,FAIL*,FAIL (Grade D)*
R9-0 R8 architecture reference,VitalDB,DBP,5.744862557195826,0.5885395426306205,-0.5756540957291523,8.074618724527905,54.761145771665376,83.92914067125096,94.81761464547566,FAIL*,PASS (Grade B)*
R9-1 Adaptive base-personal fusion,VitalDB,SBP,9.765718567875696,0.5342418192393406,-0.3439163547802332,13.06038157969098,33.99061888064119,61.60571975044401,79.12473245594062,FAIL*,FAIL (Grade D)*
R9-1 Adaptive base-personal fusion,VitalDB,DBP,5.758090108126813,0.5889165747405478,-0.6050279209851469,8.068750656558619,54.5972038799581,83.76975272098001,94.82672252834828,FAIL*,PASS (Grade B)*
R9-2 Soft BP-range experts,VitalDB,SBP,9.76263389238227,0.5337669406201513,-0.8226082108375712,13.045657135296013,34.2365317182021,61.40990026868255,79.27956646477526,FAIL*,FAIL (Grade D)*
R9-2 Soft BP-range experts,VitalDB,DBP,5.770977746930582,0.586472833863255,-0.5175510130107085,8.09889754483191,54.469693519741334,83.86538549114259,94.76752128967621,FAIL*,PASS (Grade B)*
R9-3 DBP-specific physiology,VitalDB,SBP,9.769258013513822,0.5357469801913359,-0.6405317830368439,13.028044260566663,33.731044218771345,61.45999362448199,79.58012659957193,FAIL*,FAIL (Grade D)*
R9-3 DBP-specific physiology,VitalDB,DBP,5.835340810748223,0.5762377720458943,-1.2749743721970357,8.115691987973186,54.72926818161118,83.246049455804,94.57625574935106,FAIL*,PASS (Grade B)*
R9-4 Bias regularization,VitalDB,SBP,9.79148007581412,0.5325293055318859,-0.9772593584524933,13.05237052966765,33.667289038662965,61.601165809007696,79.27045858190263,FAIL*,FAIL (Grade D)*
R9-4 Bias regularization,VitalDB,DBP,5.852556283967222,0.5741073563881018,-1.3940076829305823,8.117021796084462,54.42415410537821,82.93182749669839,94.52616239355162,FAIL*,PASS (Grade B)*
R9-5 Short causal attention,VitalDB,SBP,9.817754912514292,0.5286284838294029,-0.19893997395981575,13.141896995968803,33.84033881324286,61.39623844437361,79.31144405482945,FAIL*,FAIL (Grade D)*
R9-5 Short causal attention,VitalDB,DBP,5.805744777248447,0.5811964838568526,-0.5764742347949722,8.146656240633822,54.442369871123454,83.71510542374425,94.56714786647844,FAIL*,PASS (Grade B)*
R9-6 Personal BP direction,VitalDB,SBP,9.68327068810233,0.5405823793427955,-0.3382328661789176,12.97126612601973,34.61450885741609,62.01102053827587,79.50270959515461,FAIL*,FAIL (Grade D)*
R9-6 Personal BP direction,VitalDB,DBP,5.782414071399976,0.57956237007004,-1.4436068948085334,8.054595296546776,55.17100050093355,83.36445193314815,94.64456487089576,FAIL*,PASS (Grade B)*
R9-7 Temporal delta consistency,VitalDB,SBP,9.747739280701726,0.5350083944750066,-0.9740672356237984,13.017759594724449,34.213762011020535,61.66947493055239,79.47538594653672,FAIL*,FAIL (Grade D)*
R9-7 Temporal delta consistency,VitalDB,DBP,5.740402890845582,0.5896457550528824,-0.5305163030269568,8.066797384104255,54.838562776082696,83.92914067125096,94.85860011840248,FAIL*,PASS (Grade B)*
R9-8 Support dropout consistency,VitalDB,SBP,9.759299414759044,0.5309520281225628,-0.5771386435657389,13.098259232339316,34.5461997358714,61.678582813425024,79.2203652261032,FAIL*,FAIL (Grade D)*
R9-8 Support dropout consistency,VitalDB,DBP,5.859336089184551,0.5727030297955524,-1.2372945431743556,8.156106914244194,54.155471560635725,83.30525069447607,94.46240721344323,FAIL*,PASS (Grade B)*
