candidate,runner_random,backbone_random,split_mode_random,seed_random,view,n_participants_random,n_events_random,sbp_mae_random,dbp_mae_random,mean_mae_random,sbp_bias_random,dbp_bias_random,worst_30_mean_mae_random,retained_70_mean_mae_random,runner_chronological,backbone_chronological,split_mode_chronological,seed_chronological,n_participants_chronological,n_events_chronological,sbp_mae_chronological,dbp_mae_chronological,mean_mae_chronological,sbp_bias_chronological,dbp_bias_chronological,worst_30_mean_mae_chronological,retained_70_mean_mae_chronological,mean_mae_gain_random,mean_mae_gain_chronological,robust_mean_mae,passes_robust_gate
lora_film,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.240392684936523,2.341254949569702,3.2908244132995605,-0.1270918846130371,-0.2656221687793731,4.932959079742432,2.5847294330596924,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.646663188934326,2.4884591102600098,3.567560911178589,-0.2547500729560852,-0.1597817838191986,6.793791770935059,2.1803274154663086,0.0289788246154785,0.115954160690308,3.4291926622390747,False
lora_film_reliability,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.228384494781494,2.3353116512298584,3.2818479537963867,0.2606526911258697,-0.0605896227061748,4.920380592346191,2.5773024559021,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.67010498046875,2.509390115737915,3.589747428894043,0.0041509037837386,-0.0932319685816764,6.838766098022461,2.1927149295806885,0.0379552841186523,0.0937676429748539,3.435797691345215,False
lora_film_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.258494853973389,2.355641841888428,3.307068586349488,-0.1012091189622879,-0.1845591366291046,4.931665420532227,2.6085147857666016,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.649713039398193,2.501581907272339,3.575647592544556,-0.0843269154429435,-0.1772855669260025,6.8333234786987305,2.1748926639556885,0.0127346515655513,0.1078674793243408,3.441358089447022,False
lora_film_multi_event,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.2614521980285645,2.3487493991851807,3.305101156234741,-0.0903035178780555,-0.1219695955514907,4.931377410888672,2.605825185775757,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.665799617767334,2.503229141235352,3.584514141082764,-0.0567388124763965,-0.1357774883508682,6.920204639434815,2.150214910507202,0.0147020816802978,0.0990009307861328,3.4448076486587524,False
lora_multi_event,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.281379699707031,2.368112564086914,3.324746370315552,-0.0297967214137315,-0.2796039879322052,4.966765403747559,2.618701457977295,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.651759147644043,2.499706268310547,3.575732707977295,0.1254648715257644,-0.0458561442792415,6.876502513885498,2.1564481258392334,-0.0049431324005131,0.107782363891602,3.450239539146424,False
lora_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.274836540222168,2.368049144744873,3.3214426040649414,0.0713915526866912,-0.2051294445991516,4.9573187828063965,2.618039608001709,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.666362762451172,2.508410692214966,3.5873868465423584,0.0770571082830429,-0.1269156336784362,6.871240139007568,2.175376415252685,-0.0016393661499023,0.0961282253265385,3.45441472530365,False
lora_all_six,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.307043552398682,2.3802406787872314,3.343641757965088,0.200058177113533,-0.1903364807367324,4.975340366363525,2.6420347690582275,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.652970790863037,2.4931819438934326,3.5730762481689453,-0.3175756931304931,-0.2453097105026245,6.85358476638794,2.162503957748413,-0.0238385200500488,0.1104388236999516,3.4583590030670166,False
lora_film_multi_event_reliability,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.279184818267822,2.3811230659484863,3.3301539421081543,0.0167850889265537,-0.1251411736011505,4.9751739501953125,2.6228187084198,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.664752006530762,2.5109002590179443,3.5878262519836426,-0.0553719028830528,-0.1047842055559158,6.857866764068604,2.1817548274993896,-0.0103507041931152,0.0956888198852543,3.4589900970458984,False
lora_film_attention_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.273087978363037,2.360595464706421,3.3168413639068604,0.1331197768449783,-0.1618351340293884,4.946860313415527,2.6159563064575195,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.6827311515808105,2.537755012512207,3.6102428436279297,0.3049138188362121,0.097768411040306,6.863653659820557,2.211322069168091,0.0029618740081787,0.0732722282409672,3.463542103767395,False
lora_multi_event_reliability,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.299431800842285,2.3763253688812256,3.337878465652466,-0.1672027707099914,-0.255772978067398,4.9989013671875,2.623661994934082,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.663567066192627,2.532095193862915,3.597831010818481,-0.0344983413815498,-0.2347348183393478,6.861980438232422,2.194293260574341,-0.0180752277374267,0.0856840610504159,3.4678547382354736,False
