Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
residual_reference,SBP,7.1301624057554704,0.7952871711430936,0.3140320445852157,10.248482895939866,50.984174085064296,77.12660731948566,88.17754698318497,FAIL*,FAIL (Grade C)*
residual_reference,DBP,3.72677424069564,0.8054102945597355,0.1118371572975588,5.701064898942195,76.25865479723046,93.10583580613256,97.49258160237387,PASS*,PASS (Grade A)*
subject_lora_rank4,SBP,4.631189097094135,0.9057392148226138,0.1424083285232679,6.95609294697049,68.8303659742829,89.25816023738872,95.4698318496538,PASS*,PASS (Grade A)*
subject_lora_rank4,DBP,2.514334498998791,0.8877993915277437,0.0031430617520174,4.3298923128085045,87.5024727992087,96.78288822947576,98.7759643916914,PASS*,PASS (Grade A)*
personal_profile_support_only,SBP,6.269296659984645,0.8414311602189518,0.4603607882378009,9.012263554762724,55.56874381800198,81.22898120672602,91.37982195845696,FAIL*,PASS (Grade B)*
personal_profile_support_only,DBP,3.308798268051223,0.8411970619116136,-0.0125117467018074,5.151190239522063,80.42532146389713,94.57715133531156,98.12314540059349,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,SBP,5.492869544571632,0.8759973339218012,0.2932078876551959,7.974675097106161,60.6998021760633,85.24480712166172,93.79574678536105,PASS*,PASS (Grade B)*
personal_profile_code32_no_support,DBP,2.893422791464982,0.8737774494250297,-0.0001833810532717,4.592488517961755,84.64144411473788,95.91246290801186,98.41493570722058,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,SBP,5.371129614946042,0.8832116676789278,0.2520796812606494,7.740346114657443,61.310583580613255,85.79376854599407,94.23343224530169,PASS*,PASS (Grade B)*
personal_profile_code32_no_reliability,DBP,2.8361505612657285,0.8762490592776578,-0.0366595904504038,4.547154852553497,84.95548961424332,96.06824925816024,98.4965380811078,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,SBP,5.50298838620134,0.8769774002315754,0.3405369162441597,7.941167155697536,60.637982195845694,85.06429277942631,93.52621167161227,PASS*,PASS (Grade B)*
personal_profile_code32_reliability,DBP,2.935938288455665,0.8684053843851224,-0.023145845217002,4.689141873189925,84.24826904055391,96.08555885262116,98.37784371909,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,SBP,5.390605389211109,0.879777297993426,0.4395906755879418,7.845188033323741,61.65677546983185,85.93471810089021,93.85262116716125,PASS*,PASS (Grade B)*
personal_profile_code64_reliability,DBP,2.8759861105155755,0.8716042644090507,-0.0306998168443477,4.63175270476583,84.81701285855588,96.01632047477744,98.45697329376854,PASS*,PASS (Grade A)*
personal_profile_code32_stable_only,SBP,6.540934688896383,0.8347113120695507,0.351181708882046,9.206544940723028,52.47527200791296,79.61177052423342,91.09297725024727,FAIL*,PASS (Grade B)*
personal_profile_code32_stable_only,DBP,3.4201754349275584,0.8337814448804715,-0.1551709788253588,5.267821106766706,79.83432245301681,94.74035608308606,97.98961424332344,PASS*,PASS (Grade A)*
