Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
residual_reference,SBP,7.939924052725298,0.7128888805345758,0.101493776675726,11.013638364432534,45.4534373476353,71.95392491467577,85.16821062896149,FAIL*,FAIL (Grade C)*
residual_reference,DBP,4.285645002484147,0.7487962270221675,-0.0261972195575552,6.234195629185949,69.59775719161385,90.58142369575816,97.02949780594832,PASS*,PASS (Grade A)*
subject_lora_rank4,SBP,4.8788728119279625,0.8780489178936821,0.0704422911686295,7.1778794813621545,65.93734763529986,87.96318868844466,95.09751340809362,PASS*,PASS (Grade A)*
subject_lora_rank4,DBP,2.7100616636420387,0.8725629764344476,0.0209950401514463,4.440318643769346,85.46075085324232,96.64431984397854,98.87615797172111,PASS*,PASS (Grade A)*
personal_profile_support_only,SBP,6.442440297207211,0.8083967379194764,0.522512373652242,8.98239474251978,53.068015602145294,79.85494880546075,91.1189663578742,FAIL*,PASS (Grade B)*
personal_profile_support_only,DBP,3.5644719355632946,0.8186156262446653,0.0289530344674321,5.297422724430495,76.83081423695758,94.05290102389078,98.34592881521208,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,SBP,5.584332296361231,0.851517292912696,0.2637385200024348,7.916282641728238,59.07118478790834,84.57703559239395,93.71647976596782,PASS*,PASS (Grade B)*
personal_profile_code32_no_support,DBP,3.038110091266604,0.8597172720900392,-0.0618023618961298,4.658381641852103,82.56338371526085,96.0787420770356,98.75548512920528,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,SBP,5.471697002756834,0.8593932997035183,0.059732689292532,7.707512045985963,59.56484641638225,85.16211604095562,94.2235494880546,PASS*,PASS (Grade B)*
personal_profile_code32_no_reliability,DBP,2.9905613435645733,0.862647556068391,-0.111284697387115,4.608533975210281,82.98756704046806,96.25304729400293,98.85543637250122,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,SBP,5.574009212640831,0.8539082220404324,0.4450150434474489,7.844031533685309,58.849341784495365,84.70136518771331,93.73110677718186,PASS*,PASS (Grade B)*
personal_profile_code32_reliability,DBP,3.053951393691927,0.8572249815545652,0.0296441628955039,4.6999004106344655,82.4914675767918,96.17991223793273,98.7993661628474,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,SBP,5.49824703022191,0.8562957516815393,0.3262542602319592,7.785348194231545,59.69283276450512,84.9549000487567,93.99683081423696,PASS*,PASS (Grade B)*
personal_profile_code64_reliability,DBP,3.0087094085150263,0.8604586774697108,-0.0944500262884905,4.645504173307825,82.965626523647,96.20307167235497,98.81033642125792,PASS*,PASS (Grade A)*
personal_profile_code32_stable_only,SBP,6.528049081898154,0.8068332638757456,0.3705602531023922,9.026611886725806,51.4870794734276,79.3466601657728,91.27986348122867,FAIL*,PASS (Grade B)*
personal_profile_code32_stable_only,DBP,3.568252550224628,0.8199434906299496,-0.2242920195748316,5.273307600084211,77.15504631886884,94.50511945392492,98.38737201365188,PASS*,PASS (Grade A)*
