Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
residual_reference,SBP,8.72710580761616,0.5663518967583705,-0.1051179433785952,11.706054416801894,40.07692307692308,66.92548076923077,82.24278846153847,FAIL*,FAIL (Grade D)*
residual_reference,DBP,4.828931868030475,0.6739674414021595,-0.1603825609042094,6.70933821094119,63.12259615384615,88.12740384615385,96.57932692307692,PASS*,PASS (Grade A)*
subject_lora_rank4,SBP,5.1196499616366165,0.8273524989787608,0.00048299908638,7.386513062294857,63.125,86.70432692307692,94.73557692307692,PASS*,PASS (Grade B)*
subject_lora_rank4,DBP,2.9003310515788887,0.8504565424747732,0.0383492229993526,4.545079647865576,83.47596153846155,96.5096153846154,98.9735576923077,PASS*,PASS (Grade A)*
personal_profile_support_only,SBP,6.610755890699533,0.7452866311731088,0.5829308860118573,8.952958051316285,50.63701923076923,78.51923076923077,90.8653846153846,FAIL*,PASS (Grade B)*
personal_profile_support_only,DBP,3.813016241192818,0.7860985739694956,0.0692615861617601,5.435566745451116,73.33653846153845,93.54326923076924,98.5625,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,SBP,5.673244644495157,0.8043793932238749,0.2350908943322988,7.859092532141592,57.48798076923077,83.92788461538461,93.63942307692308,PASS*,PASS (Grade B)*
personal_profile_code32_no_support,DBP,3.17876284136222,0.8385713341843712,-0.1217031211577929,4.720840244739392,80.54326923076923,96.2403846153846,99.08653846153848,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,SBP,5.569460107638286,0.8137497366957114,-0.1272507807841667,7.67093003443727,57.86778846153846,84.54807692307692,94.2139423076923,PASS*,PASS (Grade B)*
personal_profile_code32_no_reliability,DBP,3.1406664405877773,0.8421373045205567,-0.1838289119188602,4.666338706266108,81.07451923076923,96.4326923076923,99.20432692307692,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,SBP,5.643049650650758,0.8091354198448744,0.5465798382575695,7.747182335701049,57.11057692307693,84.3485576923077,93.93028846153844,PASS*,PASS (Grade B)*
personal_profile_code32_reliability,DBP,3.1686737488783323,0.8393830822563377,0.0809621419356419,4.709824596967751,80.78365384615384,96.2716346153846,99.2091346153846,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,SBP,5.602887125473756,0.811007655829955,0.2160781872272491,7.72523335364333,57.78365384615385,84.00240384615385,94.13701923076924,PASS*,PASS (Grade B)*
personal_profile_code64_reliability,DBP,3.1377317683971846,0.8427640753846846,-0.1564225856615946,4.658052669325119,81.16586538461539,96.3846153846154,99.15384615384616,PASS*,PASS (Grade A)*
personal_profile_code32_stable_only,SBP,6.515522785095068,0.7517796459140229,0.3893984340704404,8.848259596603775,50.52644230769231,79.0889423076923,91.46153846153848,FAIL*,PASS (Grade B)*
personal_profile_code32_stable_only,DBP,3.712200592114375,0.7977506227856608,-0.2914856466880211,5.277831272348983,74.55048076923076,94.2764423076923,98.77403846153848,PASS*,PASS (Grade A)*
