candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
subject_lora_rank4,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,4.276870250701904,2.364320516586304,3.3205955028533936,-0.0570251643657684,-0.2669357657432556,4.944676399230957,2.622263669967652
personal_profile_code64_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.405442714691162,2.9718449115753174,4.188643455505371,-0.021448515355587,-0.464814156293869,6.113261699676514,3.3610854148864746
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.50387716293335,3.037464141845703,4.2706708908081055,0.1165192201733589,-0.2897525131702423,6.24267578125,3.422736167907715
personal_profile_code32_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.527478694915772,3.0601184368133545,4.293798446655273,0.2291945219039917,-0.1582336723804474,6.2638444900512695,3.446706533432007
personal_profile_code32_no_support,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,5.590533256530762,3.0812418460845947,4.335887908935547,-0.0974422618746757,-0.3948468565940857,6.309439182281494,3.487287998199463
personal_profile_support_only,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,6.182905197143555,3.3748559951782227,4.778880596160889,-0.0380217283964157,-0.4952431321144104,6.819533348083496,3.90142822265625
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,7.121889591217041,3.806633472442627,5.464262008666992,0.2988261282444,-0.4459103047847748,8.001886367797852,4.373118877410889
residual_reference,personal_profile_residual,resnet_small,random_disjoint,20260904,MIMIC,1011,40440,7.811641216278076,4.18910551071167,6.000372886657715,-0.2412020862102508,-0.4829627573490143,8.694648742675781,4.841872692108154
subject_lora_rank4,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,3.901790618896485,2.17708158493042,3.0394363403320312,0.0193237755447626,-0.1215020418167114,4.476913928985596,2.422372579574585
personal_profile_code64_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.018830299377441,2.7872984409332275,3.903064727783203,-0.011875120922923,-0.2468033283948898,5.630374431610107,3.1615853309631348
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.113367080688477,2.847791910171509,3.980579376220703,-0.1342339217662811,-0.2374008297920227,5.7145280838012695,3.236250162124634
personal_profile_code32_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.159131050109863,2.8767576217651367,4.017944812774658,0.1861059814691543,-0.0387761294841766,5.812130451202393,3.247757196426392
personal_profile_code32_no_support,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.235729217529297,2.910088062286377,4.072908401489258,-0.2299209237098693,-0.2104789763689041,5.827120780944824,3.319880723953247
personal_profile_support_only,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.960195541381836,3.3071863651275635,4.633691310882568,-0.1565922945737838,-0.3755939900875091,6.461143493652344,3.8492236137390137
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,6.693455219268799,3.623133420944214,5.158294677734375,-0.0565888583660125,-0.3660261929035187,7.422899723052978,4.186171054840088
residual_reference,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,7.802262783050537,4.233964443206787,6.018113136291504,-0.168810561299324,-0.2712924480438232,8.483001708984375,4.960014820098877
subject_lora_rank4,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,3.537169933319092,1.99506413936615,2.7661170959472656,0.0935437604784965,0.0198763404041528,3.9309351444244394,2.26690936088562
personal_profile_code64_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.642999172210693,2.607897996902466,3.625448942184448,-0.0025686740409582,-0.0348716601729393,5.050843715667725,3.0145649909973145
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.73374605178833,2.6634089946746826,3.698577404022217,-0.377994954586029,-0.1865089684724807,5.099471569061279,3.098194122314453
personal_profile_code32_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.801055431365967,2.698509693145752,3.7497825622558594,0.1442189216613769,0.0773503929376602,5.280222415924072,3.093880176544189
personal_profile_code32_no_support,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.890818595886231,2.743706703186035,3.817262649536133,-0.358705461025238,-0.0312521196901798,5.274979114532471,3.1925265789031982
personal_profile_support_only,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,5.743697166442871,3.241403341293335,4.492549896240234,-0.2718566060066223,-0.2592812180519104,6.080972194671631,3.811798095703125
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,6.27696704864502,3.4447505474090576,4.860858917236328,-0.4020932018756866,-0.2883696258068084,6.769276142120361,4.042965412139893
residual_reference,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,7.793145179748535,4.2775726318359375,6.035358905792236,-0.0984376743435859,-0.0655244663357734,8.276076316833496,5.075051784515381
subject_lora_rank4,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,4.631188869476318,2.5143344402313232,3.5727617740631104,0.1424083113670349,0.0031430502422153,6.780691146850586,2.193397521972656
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,5.371129512786865,2.8361504077911377,4.103640079498291,0.2520796656608581,-0.036659587174654,7.562791347503662,2.6162540912628174
personal_profile_code64_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,5.390605449676514,2.875986337661743,4.13329553604126,0.4395906627178192,-0.0306998305022716,7.641714572906494,2.624725103378296
personal_profile_code32_no_support,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,5.492869377136231,2.893422842025757,4.193145751953125,0.2932078838348388,-0.0001833544956753,7.71815013885498,2.6774442195892334
