Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
residual_reference,SBP,7.811641444367542,0.7690864983340119,-0.2412020747432841,10.93399292318598,45.79376854599407,72.68545994065282,86.34767556874382,FAIL*,FAIL (Grade C)*
residual_reference,DBP,4.189105087501005,0.7715171216191941,-0.4829627905354184,6.337127404587776,71.84965380811079,91.71612265084076,97.0450049455984,PASS*,PASS (Grade A)*
subject_lora_rank4,SBP,4.276870432758425,0.9209312402948474,-0.057025172425071,6.399484545354657,70.95697329376854,91.15727002967358,96.73837784371908,PASS*,PASS (Grade A)*
subject_lora_rank4,DBP,2.3643203915521487,0.9034374751677122,-0.2669357744098063,4.123055958922498,89.55489614243324,97.5024727992087,98.94906033630068,PASS*,PASS (Grade A)*
personal_profile_support_only,SBP,6.182905037160207,0.8513398449675036,-0.0380217330510019,8.77511844941511,54.7082096933729,81.56280909990109,92.12413452027695,FAIL*,PASS (Grade B)*
personal_profile_support_only,DBP,3.3748560101766616,0.8407773768840074,-0.4952431401442349,5.282325920456477,80.25964391691394,95.03709198813056,98.23194856577646,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,SBP,5.590533553292325,0.8764451649396654,-0.0974422698204878,7.999400247443392,59.102373887240354,84.90850642927794,93.87487636003956,PASS*,PASS (Grade B)*
personal_profile_code32_no_support,DBP,3.0812418250490485,0.8564728982505373,-0.3948468556861613,5.021712025394618,83.4248269040554,96.06330365974284,98.47922848664687,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,SBP,5.503877165763244,0.8786582355620547,0.1165192334281702,7.927167139457325,59.95796241345202,85.2299703264095,94.0702274975272,PASS*,PASS (Grade B)*
personal_profile_code32_no_reliability,DBP,3.037464040865648,0.86189009282721,-0.2897525186001016,4.93273351414705,83.88229475766568,96.24134520276954,98.4841740850643,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,SBP,5.527478359950639,0.877919595252938,0.2291945313133896,7.948813192861346,59.898615232443134,85.07418397626112,94.09742828882295,PASS*,PASS (Grade B)*
personal_profile_code32_reliability,DBP,3.0601184277576934,0.8619413780812732,-0.1582336700752628,4.937784272410242,83.22453016815035,96.14490603363008,98.5484668644906,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,SBP,5.405442642811852,0.8828208312789583,-0.0214485112802447,7.790822934534352,60.61572700296736,85.83827893175075,94.4114737883284,PASS*,PASS (Grade B)*
personal_profile_code64_reliability,DBP,2.971844993359257,0.8663536974970053,-0.4648141626552352,4.838456440484027,84.33481701285855,96.32542037586548,98.56083086053413,PASS*,PASS (Grade A)*
personal_profile_code32_stable_only,SBP,7.121890087486139,0.805225320196774,0.298826124453521,10.040000614651207,48.83036597428288,76.65182987141445,89.36449060336301,FAIL*,FAIL (Grade C)*
personal_profile_code32_stable_only,DBP,3.806633265577368,0.797263752664707,-0.4459103186217779,5.970089827454036,76.13748763600395,93.68199802176063,97.63600395647872,PASS*,PASS (Grade A)*
