Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
residual_reference,SBP,7.802262625189772,0.7374653137084743,-0.1688105738029312,10.842669518951702,45.23159434422233,72.6962457337884,86.37006338371526,FAIL*,FAIL (Grade C)*
residual_reference,DBP,4.233964326984995,0.7708468481721978,-0.2712924585988729,6.13426662770086,70.2693807898586,91.55533885909313,97.36591906387127,PASS*,PASS (Grade A)*
subject_lora_rank4,SBP,3.901790778570673,0.924770489573083,0.0193237733399211,5.804799409023436,74.04924427108728,92.9205265724037,97.5780107264749,PASS*,PASS (Grade A)*
subject_lora_rank4,DBP,2.1770816455870823,0.9202864190932254,-0.1215020345048983,3.619475487832853,91.09215017064848,98.2106289614822,99.3466601657728,PASS*,PASS (Grade A)*
personal_profile_support_only,SBP,5.960195907693209,0.8426947113345294,-0.1565923132819701,8.392504472988023,55.92637737688933,82.68893222818137,92.95953193564117,FAIL*,PASS (Grade B)*
personal_profile_support_only,DBP,3.3071862779902808,0.8507999988417083,-0.3755939966524478,4.940341341381594,79.97684056557776,95.57898586055585,98.65065821550462,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,SBP,5.235729023167588,0.8749087938018374,-0.2299209206933105,7.481762522673316,61.52852267186738,86.73451974646514,94.98537298878595,PASS*,PASS (Grade B)*
personal_profile_code32_no_support,DBP,2.910088056520623,0.8747435640578617,-0.2104789734816679,4.534785695391046,84.49780594831789,96.86006825938568,98.94076060458312,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,SBP,5.113366873214328,0.8798211473010888,-0.1342339245532559,7.335620097819214,62.5365675280351,87.40858117991223,95.24256460263288,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,DBP,2.847791992937978,0.880505546100693,-0.2374008316577556,4.42766281116651,85.17918088737201,97.07581667479278,98.95904436860069,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,SBP,5.159131396008608,0.8777481551316811,0.1861059753793672,7.397514433338511,62.41223793271576,87.08191126279864,95.1231106777182,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,DBP,2.8767576655662683,0.8796972187199308,-0.0387761238782595,4.448825600583307,84.57581667479278,96.94539249146756,99.011457825451,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,SBP,5.018830765194569,0.8837260555855975,-0.01187511697041,7.216657930072855,63.431253047294,87.8352023403218,95.47903461725988,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,DBP,2.787298460043912,0.8844054034487744,-0.2468033346299832,4.354078230491807,85.6618722574354,97.16601657727938,99.04558751828375,PASS*,PASS (Grade A)*
personal_profile_code32_stable_only,SBP,6.693455239820922,0.8012244987830546,-0.0565888643845995,9.435591350701122,51.0092637737689,78.91272549975622,90.8861530960507,FAIL*,PASS (Grade B)*
personal_profile_code32_stable_only,DBP,3.623133489807776,0.8193630435204879,-0.3660262129470699,5.439340601091355,76.9161384690395,94.57825450999512,98.23866406630913,PASS*,PASS (Grade A)*
