Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
residual_reference,SBP,7.793145330777535,0.67778514005492,-0.0984376820234152,10.752813514362728,44.68509615384615,72.70673076923076,86.39182692307692,FAIL*,FAIL (Grade C)*
residual_reference,DBP,4.277572683829527,0.7662432637219925,-0.0655244724567119,5.923244550578104,68.73317307692308,91.39903846153848,97.6778846153846,PASS*,PASS (Grade A)*
subject_lora_rank4,SBP,3.53717007627854,0.925770092618642,0.0935437581172356,5.160427079649087,77.05528846153847,94.6346153846154,98.39423076923076,PASS*,PASS (Grade A)*
subject_lora_rank4,DBP,1.9950639800383492,0.9382417756061006,0.019876341498815,3.044684626974451,92.58653846153844,98.89903846153844,99.73317307692308,PASS*,PASS (Grade A)*
personal_profile_support_only,SBP,5.7436969366440405,0.8213902464862838,-0.2718565984872671,8.001466433682854,57.11057692307693,83.78365384615385,93.7716346153846,FAIL*,PASS (Grade B)*
personal_profile_support_only,DBP,3.2414034902590974,0.8597768548606496,-0.2592812235080279,4.580568249843766,79.70192307692308,96.10576923076924,99.0576923076923,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,SBP,4.8908180809021,0.8654576784367543,-0.3587054553398719,6.939329737361464,63.887019230769226,88.50961538461539,96.06490384615384,PASS*,PASS (Grade A)*
personal_profile_code32_no_support,DBP,2.74370684499924,0.893564180981447,-0.0312521187617228,3.997005962860411,85.54086538461539,97.6346153846154,99.38942307692308,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,SBP,4.733745809976871,0.8744440027515448,-0.3779949271678924,6.701878815614242,65.04326923076923,89.5264423076923,96.38221153846152,PASS*,PASS (Grade A)*
personal_profile_code32_no_reliability,DBP,2.6634088771159834,0.8998173596081751,-0.1865089513705327,3.8734461532270617,86.43990384615384,97.88701923076924,99.42067307692308,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,SBP,4.80105564548419,0.8703778261125252,0.1442189272550436,6.818833142653978,64.85576923076923,89.03365384615385,96.1201923076923,PASS*,PASS (Grade A)*
personal_profile_code32_reliability,DBP,2.6985098477051808,0.8980113566784425,0.0773503945882503,3.911967100463284,85.88942307692308,97.7235576923077,99.46153846153844,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,SBP,4.64299941108777,0.8782150743923403,-0.0025686730788304,6.610955960577207,66.16826923076923,89.7764423076923,96.51682692307692,PASS*,PASS (Grade A)*
personal_profile_code64_reliability,DBP,2.60789793583063,0.9031370871345392,-0.0348716546938969,3.812982119708821,86.95192307692308,97.98317307692308,99.51682692307692,PASS*,PASS (Grade A)*
personal_profile_code32_stable_only,SBP,6.276967133100216,0.7840181106561187,-0.4020932429570418,8.79473499698121,53.12740384615384,81.11057692307693,92.3653846153846,FAIL*,PASS (Grade B)*
personal_profile_code32_stable_only,DBP,3.444750534708683,0.841639818165215,-0.288369644834445,4.867054274333343,77.67307692307692,95.44951923076924,98.82451923076924,PASS*,PASS (Grade A)*
