Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,residual_reference,SBP,7.715503017987233,0.7434364614127238,-0.4563522890798642,10.710237223427198,45.589956118966356,73.03754266211604,86.71014139444173,FAIL*,FAIL (Grade C)*
Overall,residual_reference,DBP,4.2092274597480435,0.7717605930610858,-0.4360298418522114,6.112476072201957,70.43027791321308,91.79424670892247,97.32935153583617,PASS*,PASS (Grade A)*
MIMIC,residual_reference,SBP,7.768717153513349,0.7717242230825745,-0.6108735276966492,10.85683637802693,45.8704253214639,72.94263105835806,86.4515331355094,FAIL*,FAIL (Grade C)*
MIMIC,residual_reference,DBP,4.194696485159069,0.7690607914830883,-0.6418737413385619,6.357253640053204,71.83728981206727,91.84223541048468,96.89663699307616,PASS*,PASS (Grade A)*
VitalDB,residual_reference,SBP,7.663772738163288,0.6887817972132064,-0.30613981577066274,10.563740508826383,45.31730769230769,73.1298076923077,86.96153846153845,FAIL*,FAIL (Grade C)*
VitalDB,residual_reference,DBP,4.2233532436994405,0.7710305984375181,-0.23592582033230708,5.857886355426006,69.0625,91.74759615384616,97.75,PASS*,PASS (Grade A)*
Overall,residual_quality_gate,SBP,7.618251549494319,0.747876109807341,-0.24063467535375097,10.624075089710809,46.41638225255973,73.78961482203803,87.03559239395416,FAIL*,FAIL (Grade C)*
Overall,residual_quality_gate,DBP,4.142291531197796,0.7784666290970642,-0.19782406829264848,6.034070063563842,71.2213554363725,91.92345197464651,97.49634324719649,PASS*,PASS (Grade A)*
MIMIC,residual_quality_gate,SBP,7.679447521300274,0.7759674942847247,-0.15499728049062245,10.77135480277064,46.48615232443126,73.79327398615231,86.96587537091987,FAIL*,FAIL (Grade C)*
MIMIC,residual_quality_gate,DBP,4.127780228387472,0.7769376687883239,-0.2792741511860894,6.273449836922432,72.45796241345202,92.04005934718101,97.12166172106825,PASS*,PASS (Grade A)*
VitalDB,residual_quality_gate,SBP,7.558762003825261,0.6937559129147737,-0.3238841043985807,10.478376861736217,46.34855769230769,73.7860576923077,87.10336538461539,FAIL*,FAIL (Grade C)*
VitalDB,residual_quality_gate,DBP,4.156398191910523,0.776508439573277,-0.11864518963373624,5.790867082863572,70.01923076923077,91.81009615384616,97.86057692307692,PASS*,PASS (Grade A)*
Overall,residual_quality_weighted_loss,SBP,7.7016468730221606,0.7439341037752385,-0.06694322281032583,10.70934455335871,46.03486104339346,73.22769380789859,86.79668454412482,FAIL*,FAIL (Grade C)*
Overall,residual_quality_weighted_loss,DBP,4.200635151767777,0.7737489996796062,-0.02572053700525664,6.101202482056618,70.63139931740614,91.73573866406632,97.42320819112628,PASS*,PASS (Grade A)*
MIMIC,residual_quality_weighted_loss,SBP,7.702882514297078,0.7748408875197373,-0.11145507593654855,10.798946943023292,46.67903066271018,73.4841740850643,86.72848664688428,FAIL*,FAIL (Grade C)*
MIMIC,residual_quality_weighted_loss,DBP,4.160117530775589,0.7742752378809823,-0.18448013495266968,6.314334014925858,72.13155291790306,91.99554896142433,97.06478733926805,PASS*,PASS (Grade A)*
VitalDB,residual_quality_weighted_loss,SBP,7.700445687128948,0.6856335991726249,-0.023672565588584313,10.621467193925676,45.40865384615385,72.97836538461539,86.86298076923077,FAIL*,FAIL (Grade C)*
VitalDB,residual_quality_weighted_loss,DBP,4.240022954482298,0.7693589010238598,0.12861211061477662,5.882592214778407,69.17307692307692,91.48317307692308,97.77163461538461,PASS*,PASS (Grade A)*
Overall,residual_ppg_quality_filter,SBP,7.743566668550891,0.7411517636761691,-0.09302562618767093,10.767178229111423,45.68990736226231,72.96075085324232,86.67723061921015,FAIL*,FAIL (Grade C)*
Overall,residual_ppg_quality_filter,DBP,4.217411091291631,0.7720642147289125,-0.25195556005462094,6.118745825643369,70.48878595806923,91.66138469039493,97.38664066309117,PASS*,PASS (Grade A)*
MIMIC,residual_ppg_quality_filter,SBP,7.797551691072277,0.7698930934760122,-0.05027478309578523,10.917419431761825,45.94460929772502,72.95004945598419,86.40949554896142,FAIL*,FAIL (Grade C)*
MIMIC,residual_ppg_quality_filter,DBP,4.198898727226446,0.7703479104611921,-0.48542318141307134,6.353227570734679,72.05242334322452,91.5677546983185,97.01533135509396,PASS*,PASS (Grade A)*
VitalDB,residual_ppg_quality_filter,SBP,7.691086997619042,0.6857274339867164,-0.13458437846257137,10.619055420701264,45.44230769230769,72.97115384615384,86.9375,FAIL*,FAIL (Grade C)*
VitalDB,residual_ppg_quality_filter,DBP,4.235407245204999,0.7702133278124106,-0.024998093522511994,5.873035849851154,68.96875,91.75240384615385,97.74759615384615,PASS*,PASS (Grade A)*
Overall,residual_calibration_relative,SBP,6.890957929424284,0.7938846716522783,-0.05703130589061572,9.608221362285079,49.92930277913213,77.58166747927841,89.7306192101414,FAIL*,FAIL (Grade C)*
Overall,residual_calibration_relative,DBP,3.7849073750399658,0.8127522818288981,-0.2540881651660281,5.544683716911758,74.57581667479278,93.77620672842517,98.12408581179912,PASS*,PASS (Grade A)*
MIMIC,residual_calibration_relative,SBP,7.0383300519013146,0.8117836840749408,-0.007393398530169599,9.873890030650207,49.34965380811078,76.99307616221563,89.1864490603363,FAIL*,FAIL (Grade C)*
MIMIC,residual_calibration_relative,DBP,3.807096846285253,0.8062221470011474,-0.3958635276432207,5.839553760934602,75.47725024727993,93.63748763600395,97.69535113748763,PASS*,PASS (Grade A)*
VitalDB,residual_calibration_relative,SBP,6.74769522190094,0.7567490693925455,-0.10528507929581862,9.342588234601907,50.49278846153846,78.15384615384615,90.25961538461539,FAIL*,PASS (Grade B)*
VitalDB,residual_calibration_relative,DBP,3.7633366486659416,0.8170937494660551,-0.11626615414252647,5.238554920610633,73.69951923076923,93.9110576923077,98.54086538461539,PASS*,PASS (Grade A)*
Overall,residual_support_attention,SBP,6.781931600752021,0.7997319844381157,-0.405719839009583,9.462425078721976,50.60823988298391,78.06435884934179,90.14505119453925,FAIL*,PASS (Grade B)*
Overall,residual_support_attention,DBP,3.705973564991423,0.8189215484908873,-0.1606761182127552,5.455934891823031,75.61433447098976,94.14797659678206,98.22403705509507,PASS*,PASS (Grade A)*
MIMIC,residual_support_attention,SBP,6.930231498563561,0.8167766535885421,-0.6360200730087023,9.72126175326368,50.175568743818,77.40356083086053,89.5895153313551,FAIL*,FAIL (Grade C)*
MIMIC,residual_support_attention,DBP,3.715534692937849,0.8135790729324103,-0.4252111456160729,5.725005997716203,76.71859545004945,93.92927794263106,97.7917903066271,PASS*,PASS (Grade A)*
VitalDB,residual_support_attention,SBP,6.637766988552533,0.7641361656573825,-0.18184143845851605,9.198422614264484,51.02884615384615,78.70673076923077,90.68509615384616,FAIL*,PASS (Grade B)*
